name
OA1: Persistent Identifiers
"OA2: Metadata, Ontologies and Interoperability"
OA3: FAIR Assessment and Alignment
OA4: User and Resource Environments
"OA5: Rewards, Recognition and Upscaling"
OA6: Open Scholarly Communication
OA7: Research Software
