name,code,description,local_name
"Ojibwe, Ojibwa",oji,"Ojibwe, Ojibwa language",ᐊᓂᔑᓈᐯᒧᐎᓐ
"Old Church Slavonic, Church Slavonic, Old Bulgarian",chu,"Old Church Slavonic, Church Slavonic, Old Bulgarian language",ѩзыкъ словѣньскъ
Oromo,orm,Oromo language,Afaan Oromoo
Oriya,ori,Oriya language,ଓଡ଼ିଆ
"Ossetian, Ossetic",oss,"Ossetian, Ossetic language",ирон æвзаг
(Eastern) Punjabi,pan,(Eastern) Punjabi language,ਪੰਜਾਬੀ
Pāli,pli,Pāli language,पाऴि
Persian (Farsi),fas,Persian (Farsi) language,فارسی
Polish,pol,Polish language,"język polski, polszczyzna"
"Pashto, Pushto",pus,"Pashto, Pushto language",پښتو
Portuguese,por,Portuguese language,Português
Quechua,que,Quechua language,"Runa Simi, Kichwa"
Romansh,roh,Romansh language,rumantsch grischun
Kirundi,run,Kirundi language,Ikirundi
Romanian,ron,Romanian language,Română
Russian,rus,Russian language,Русский
Sanskrit (Saṁskṛta),san,Sanskrit (Saṁskṛta) language,संस्कृतम्
Sardinian,srd,Sardinian language,sardu
Sindhi,snd,Sindhi language,"सिन्धी, سنڌي، سندھی‎"
Northern Sami,sme,Northern Sami language,Davvisámegiella
Samoan,smo,Samoan language,gagana fa'a Samoa
Sango,sag,Sango language,yângâ tî sängö
Serbian,srp,Serbian language,српски језик
"Scottish Gaelic, Gaelic",gla,"Scottish Gaelic, Gaelic language",Gàidhlig
Shona,sna,Shona language,chiShona
"Sinhalese, Sinhala",sin,"Sinhalese, Sinhala language",සිංහල
Slovak,slk,Slovak language,"slovenčina, slovenský jazyk"
Slovene,slv,Slovene language,"slovenski jezik, slovenščina"
Somali,som,Somali language,"Soomaaliga, af Soomaali"
Southern Sotho,sot,Southern Sotho language,Sesotho
Spanish,spa,Spanish language,Español
Sundanese,sun,Sundanese language,Basa Sunda
Swahili,swa,Swahili language,Kiswahili
Swati,ssw,Swati language,SiSwati
Swedish,swe,Swedish language,svenska
Tamil,tam,Tamil language,தமிழ்
Telugu,tel,Telugu language,తెలుగు
Tajik,tgk,Tajik language,"тоҷикӣ, toçikī, تاجیکی‎"
Thai,tha,Thai language,ไทย
Tigrinya,tir,Tigrinya language,ትግርኛ
"Tibetan Standard, Tibetan, Central",bod,"Tibetan Standard, Tibetan, Central language",བོད་ཡིག
Turkmen,tuk,Turkmen language,"Türkmen, Түркмен"
Tagalog,tgl,Tagalog language,Wikang Tagalog
Tswana,tsn,Tswana language,Setswana
Tonga (Tonga Islands),ton,Tonga (Tonga Islands) language,faka Tonga
Turkish,tur,Turkish language,Türkçe
Tsonga,tso,Tsonga language,Xitsonga
Tatar,tat,Tatar language,"татар теле, tatar tele"
Twi,twi,Twi language,Twi
Tahitian,tah,Tahitian language,Reo Tahiti
Uyghur,uig,Uyghur language,"ئۇيغۇرچە‎, Uyghurche"
Ukrainian,ukr,Ukrainian language,Українська
Urdu,urd,Urdu language,اردو
Uzbek,uzb,Uzbek language,"Oʻzbek, Ўзбек, أۇزبېك‎"
Venda,ven,Venda language,Tshivenḓa
Vietnamese,vie,Vietnamese language,Tiếng Việt
Volapük,vol,Volapük language,Volapük
Walloon,wln,Walloon language,walon
Welsh,cym,Welsh language,Cymraeg
Wolof,wol,Wolof language,Wollof
Western Frisian,fry,Western Frisian language,Frysk
Xhosa,xho,Xhosa language,isiXhosa
Yiddish,yid,Yiddish language,ייִדיש
Yoruba,yor,Yoruba language,Yorùbá
"Zhuang, Chuang",zha,"Zhuang, Chuang language","Saɯ cueŋƅ, Saw cuengh"
Zulu,zul,Zulu language,isiZulu
